$62,004,688
$84,617,303
$56,217,700
$51,853,450
$141,067,634
$16,306,974
$27,335,363
$25,306,725
$33,457,188
$169,189,427
$90,151,958
$599,003
$65,723,338
$32,206,425
$19,058,199
$53,174,303
$10,612,375
$9,603,139
$9,851,102
$24,005,069
$116,101,023
$37,813,075
$17,619,622
$61,235,105
$88,761,720
$51,804,232
$8,407,685
$243,390
$82,429,469
$83,517,315
$30,304,648
$33,531,068
$21,312,625
$43,639,736
$15,805,237
$17,548,389
$234,667
$8,223,455
$456,998
$11,412,213
$14,087,050
$11,137,734
$66,323,594
$23,773,465
$60,316,738
$42,522,194
$46,629,259
$9,720,993
$38,079,323
$7,857,076
$47,835,000
$39,225,962
$34,077,439
$12,068,931
$66,135,507
$21,237,068
$25,356,909
$110,307,189
$48,767,052
$43,732,319
$927,956
$56,397,125
$46,016,833
$16,112,211
$70,838,207
$9,145,678
$68,108,790
$16,849,646
$786,190
$10,740,446
$6,702,923
$30,304,648
$59,321,095
$41,690,382
$3,585,852
$69,055
$60,239,130
6,040
$26,223,128
$45,012,998
$63,106,589
$10,103,675 
$7,803,347
